ED,Street1,Street2,Street3,Street4,Street5,Street6,Street7,Street8,Street9,Street10,Street11,Street12,Street13,Street14,Street15,Street16,Street17,Street18,Street19,Street20,Street21,Street22,Street23,Street24,Street25,Street26,Street27,Street28,Street29,Street30,Street31,Street32,Street33,Street34,Street35,Street36,Street37,Street38,Street39,Street40,Street41,Street42,Street43,Street44,Street45,Street46,Street47,Street48,Street49,Street50,Street51,Street52,Street53,Street54,Street55,Street56,Street57,Street58,Street59,Street60,Street61,Street62,Street63,Street64,Street65,Street66,Street67,Street68,Street69,Street70,Street71,Street72,Street73,Street74,Street75,Street76,Street77,Street78,Street79,Street80,Street81,Street82,Street83,Street84,Street85,Street86,Street87,Street88,Street89,Street90,Street91,Street92,Street93,Street94,Street95
0,4 AVE,5 AVE,8 AVE,AVE A,AVE B,AVE C,AVE D,BATTERY PL,BROADWAY,CENTRAL PARK NORTH,CENTRAL PARK SOUTH,CENTRE,CHAMBERS,COLUMBUS CIR,E 10,E 120,E 124,E 13,E 14,E 15,E 16,E 17,E 7,EAST,MADISON AVE,MOUNT MORRIS W PARK,NASSAU,PARK ROW,S WASHINGTON SQ,SOUTH,SPRUCE,STATE,UNION W SQ,W 110,W 120,W 124,WASHINGTON E SQ,WASHINGTON N SQ,WASHINGTON SQ,WASHINGTON W SQ,WHITEHALL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,BATTERY PL,BEAVER,BOWLING GREEN,BRG,BROAD,BROADWAY,CASTLE PARK,COENTIES ALY,COENTIES SLIP,CUYLERS ALY,FRONT,GREENWICH,HANOVER SQ,MARKETFIELD,MILL LN,MOORE,NEW,OLD SL,OLD SLIP,PEARL,PIER 1,PIER 2,PIER 3,S WILLIAM,SOUTH,STATE,STONE,WASHINGTON,WATER,WHITEHALL,WILLIAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1 LN,2 LN,3 LN,4 LN,ARTHUR,BATTERY PL,BEAVER,BERRIAN AVE,BOWLING GREEN,BROADWAY,BROADWAY AVE,CAMBRELING AVE,CENTRAL AVE,COLLEGE,DELANCY PL,EDGAR,ELLIS ISLAND,EXCHANGE ALY,EXCHANGE PL,FORDHAM RD,FREDRICH,GOVERNORS ISLAND,GREENWICH,ISAAC,JACOB PL,JEROME PARK,KINGSBRIDGE,KINGSBRIDGE RD,LEXINGTON AVE,LORILLARD,LORILLARD TER,MAIN,MARION AVE,MORRIS,MOSHOLU AVE,N JOHN,NEW CHURCH,OLIVER,ORCHARD CT,PROSPECT AVE N,PYNE,RAILROAD AVE,RECTOR,RIDGE,SOUTHERN BLVD,STATE,TAYLOR AVE,THOMAS AVE,TREBOUT AVE,WALTON PL,WILLIAM,WILLIAMSBRIDGE,WILLIAMSBRIDGE RD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,BATTERY PL,GREENWICH,MORRIS,NEW CHURCH,WASHINGTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,BATTERY PL,MORRIS,RECTOR,WASHINGTON,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,EDGAR,GREENWICH,MORRIS,NEW CHURCH,RECTOR,WASHINGTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,ALBANY,CARLISLE,GREENWICH,RECTOR,WASHINGTON,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,ALBANY,CEDAR,GREENWICH,LIBERTY,THAMES,WASHINGTON,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,ALBANY,BROADWAY,CARLISLE,CEDAR,GREENWICH,LIBERTY,NEW CHURCH,PINE,RECTOR,TEMPLE,THAMES,WALL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,BEAVER,BROAD,BROADWAY,CEDAR,DE PEYSTER,DEPEYSTER,EXCHANGE ALY,EXCHANGE CT,EXCHANGE PL,FLETCHER,FRONT,GOLD,GOUVERNEUR LN,HANOVER,HANOVER SQ,JAUNCEY CT,JONES LN,LIBERTY,LIBERTY PL,LORDS CT,MAIDEN LN,MORRIS,NASSAU,NEW,OLD SL,OLD SLIP,PEARL,PIER 12,PIER 13,PIER 15,PIER 17,PIER 18,PINE,RECTOR,S WILLIAM,SOUTH,STONE,WALL,WATER,WILLIAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
