street_modern,hnyc_street_name,street_alt,Left_Low,Left_High,Right_Low,Right_High,ED_Left,ED_Right,OBJECTID,JoinID,Name
SCHERMERHORN,SCHERMERHORN,NA,317,365,316,364,15,15,1,G00000001,SCHERMERHORN
WALWORTH,WALWORTH,NA,67,131,72,134,216,214,2,G00000002,WALWORTH
PITKIN AVE,BROADWAY,NA,444,458,443,457,NA,NA,7,G00000007,BROADWAY
WOODBINE,WOODBINE,NA,97,161,98,162,180,180,15,G00000015,WOODBINE
SCOTT AVE,SCOTT AVE,NA,497,517,494,508,171,171,16,G00000016,SCOTT AVE
NEW LOTS AVE,NEW LOTS AVE,NA,NA,NA,NA,NA,NA,NA,19,G00000019,NEW LOTS AVE
CONSELYEA,CONSELYEA,NA,49,83,51,86,136,132,22,G00000022,CONSELYEA
MYRTLE AVE,MYRTLE AVE,NA,1385,1409,1360,1382,180,180,25,G00000025,MYRTLE AVE
VARICK AVE,VARICK AVE,NA,41,61,32,52,174,174,26,G00000026,VARICK AVE
57,57,NA,NA,NA,NA,NA,NA,NA,27,G00000027,57
ATLANTIC AVE,ATLANTIC AVE,NA,NA,NA,NA,NA,NA,NA,28,G00000028,ATLANTIC AVE
BATH AVE,BATH AVE,NA,NA,NA,NA,NA,NA,NA,29,G00000029,BATH AVE
WEIRFIELD,WEIRFIELD,NA,297,357,300,360,179,179,31,G00000031,WEIRFIELD
W PROSPECT,9 AVE,NA,NA,NA,128,140,NA,226,33,G00000033,9 AVE
GLENMORE AVE,BALTIC AVE,NA,210,224,209,223,NA,NA,34,G00000034,BALTIC AVE
8 AVE,8 AVE,NA,3,19,10,26,224,224,35,G00000035,8 AVE
CENTRAL AVE,CENTRAL AVE,NA,161,171,172,180,177,177,36,G00000036,CENTRAL AVE
3 AVE,3 AVE,NA,151,169,156,170,79,79,37,G00000037,3 AVE
GARNET,GARNET,NA,23,59,20,54,103,101,39,G00000039,GARNET
SHERMAN,SHERMAN,NA,1,69,2,70,230,230,41,G00000041,SHERMAN
ATLANTIC AVE,ATLANTIC AVE,NA,NA,NA,1062,1144,NA,75,42,G00000042,ATLANTIC AVE
OLD WOOD POINT RD,OLD WOOD POINT RD,NA,27,41,28,42,172,172,44,G00000044,OLD WOOD POINT RD
SUYDAM,SUYDAM,NA,85,85,NA,NA,178,177,45,G00000045,SUYDAM
53,53,NA,NA,NA,NA,NA,NA,NA,46,G00000046,53
86,86,NA,NA,NA,NA,NA,NA,NA,47,G00000047,86
GRAHAM AVE,GRAHAM AVE,NA,177,193,184,200,144,145,48,G00000048,GRAHAM AVE
POWERS,POWERS,NA,129,163,130,174,130,130,51,G00000051,POWERS
HICKS,HICKS,NA,123,175,124,172,6,2,53,G00000053,HICKS
WASHINGTON AVE,WASHINGTON AVE,NA,661,689,686,714,74,71,55,G00000055,WASHINGTON AVE
LEWIS AVE,LEWIS AVE,NA,243,257,248,262,244,244,57,G00000057,LEWIS AVE
