ED,Name,JoinId,Full_Name,Name1910,AltName,Left_Low,Left_High,Right_Low,Right_High,ObjectID,source
1,COLUMBIA HTS,G00016539,COLUMBIA HTS,NULL,NULL,11,19,12,20,8186,Morse geo
1,COLUMBIA HTS,G00004966,COLUMBIA HTS,NULL,NULL,43,59,44,76,16236,Morse geo
1,COLUMBIA HTS,G00004966,COLUMBIA HTS,NULL,NULL,21,41,22,42,16238,Morse geo
2,COLUMBIA HTS,G00026649,COLUMBIA HTS,NULL,NULL,61,77,78,90,13088,Morse geo
3,COLUMBIA HTS,G00014559,COLUMBIA HTS,NULL,NULL,99,115,118,136,7211,Morse geo
3,COLUMBIA HTS,G00017046,COLUMBIA HTS,NULL,NULL,79,97,92,116,8425,Morse geo
4,CLARK,G00016134,CLARK,NULL,NULL,1,15,2,16,7986,Morse geo
4,CLARK,G00030234,CLARK,NULL,NULL,17,37,18,38,14807,Morse geo
4,CLARK,G00021416,CLARK,NULL,NULL,39,79,40,80,10573,Morse geo
5,CLARK,G00011468,CLARK,NULL,NULL,101,117,102,118,5656,Morse geo
5,CLARK,G00026554,CLARK,NULL,NULL,81,99,82,100,13039,Morse geo
5,CLARK,G00021416,CLARK,NULL,NULL,39,79,40,80,10573,Morse geo
6,EA RIVER,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
7,CLINTON,G00000265,CLINTON,NULL,NULL,49,65,58,76,130,Morse geo
7,CLINTON,G00004623,CLINTON,NULL,NULL,87,107,98,122,2312,Morse geo
7,CLINTON,G00017294,CLINTON,NULL,NULL,67,85,78,96,8544,Morse geo
8,ATLANTIC AVE,NULL,NULL,ATLANTIC AVE,NULL,NA,NA,NA,NA,20029,Morse geo
9,COLUMBIA PL,G00007563,COLUMBIA PL,NULL,NULL,1,55,2,52,16300,Morse geo
10,ATLANTIC AVE,G00003627,ATLANTIC AVE,NULL,NULL,17,29,2,18,1817,Morse geo
10,ATLANTIC AVE,G00021247,ATLANTIC AVE,NULL,NULL,77,119,72,110,10481,Morse geo
10,ATLANTIC AVE,G00006477,ATLANTIC AVE,NULL,NULL,55,75,48,70,16301,Morse geo
10,ATLANTIC AVE,G00006477,ATLANTIC AVE,NULL,NULL,31,35,20,22,16302,Morse geo
10,ATLANTIC AVE,G00006477,ATLANTIC AVE,NULL,NULL,37,53,24,46,20008,Morse geo
11,ATLANTIC AVE,G00002587,ATLANTIC AVE,NULL,NULL,121,169,112,158,1285,Morse geo
12,BOERUM PL,G00006997,BOERUM PL,NULL,NULL,17,39,18,38,3487,Morse geo
13,ATLANTIC AVE,G00010263,ATLANTIC AVE,NULL,NULL,211,251,210,250,5049,Morse geo
13,ATLANTIC AVE,G00024883,ATLANTIC AVE,NULL,NULL,171,209,160,210,12227,Morse geo
14,ATLANTIC AVE,G00010263,ATLANTIC AVE,NULL,NULL,211,251,210,250,5049,Morse geo
15,ADAMS,G00027125,ADAMS,NULL,NULL,43,59,40,56,17154,Morse geo
15,ADAMS,G00027125,ADAMS,NULL,NULL,23,41,20,38,17157,Morse geo
15,ADAMS,G00027125,ADAMS,NULL,NULL,1,21,2,18,17160,Morse geo
16,FLINT,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
17,ADAMS,G00000775,ADAMS,NULL,NULL,61,87,58,82,401,Morse geo
17,ADAMS,G00014259,ADAMS,NULL,NULL,89,115,84,110,7058,Morse geo
17,ADAMS,G00026659,ADAMS,NULL,NULL,117,135,112,130,17994,Morse geo
18,ADAMS,G00000775,ADAMS,NULL,NULL,61,87,58,82,401,Morse geo
18,ADAMS,G00014259,ADAMS,NULL,NULL,89,115,84,110,7058,Morse geo
18,ADAMS,G00027125,ADAMS,NULL,NULL,43,59,40,56,17154,Morse geo
18,ADAMS,G00027125,ADAMS,NULL,NULL,23,41,20,38,17157,Morse geo
18,ADAMS,G00027125,ADAMS,NULL,NULL,1,21,2,18,17160,Morse geo
18,ADAMS,G00026659,ADAMS,NULL,NULL,117,135,112,130,17994,Morse geo
19,BRG,G00014336,BRG,NULL,NULL,55,73,56,72,7102,Morse geo
19,BRG,G00022105,BRG,NULL,NULL,113,123,112,120,10897,Morse geo
19,BRG,G00023281,BRG,NULL,NULL,39,53,38,54,11446,Morse geo
19,BRG,G00024927,BRG,NULL,NULL,75,99,74,98,12240,Morse geo
19,BRG,G00028686,BRG,NULL,NULL,19,37,20,36,14051,Morse geo
19,BRG,NULL,NULL,BRG,NULL,1,17,2,18,16870,Morse geo
19,BRG,G00022105,BRG,NULL,NULL,101,111,100,110,16985,Morse geo
20,BRG,NULL,NULL,BRG,NULL,125,141,122,140,16961,Morse geo
21,BOERUM PL,G00006997,BOERUM PL,NULL,NULL,17,39,18,38,3487,Morse geo
22,3 AVE,G00001877,3 AVE,NULL,NULL,NA,NA,NA,NA,960,Morse geo
23,ATLANTIC AVE,G00019581,ATLANTIC AVE,NULL,NULL,293,343,292,342,9657,Morse geo
23,ATLANTIC AVE,G00026342,ATLANTIC AVE,NULL,NULL,253,289,252,290,12938,Morse geo
24,ATLANTIC AVE,G00019581,ATLANTIC AVE,NULL,NULL,293,343,292,342,9657,Morse geo
25,BERGEN,G00013719,BERGEN,NULL,NULL,35,73,38,72,6779,Morse geo
25,BERGEN,G00030308,BERGEN,NULL,NULL,77,129,78,138,14839,Morse geo
26,ATLANTIC AVE,G00026342,ATLANTIC AVE,NULL,NULL,253,289,252,290,12938,Morse geo
27,ATLANTIC AVE,G00029090,ATLANTIC AVE,NULL,NULL,347,399,348,402,14233,Morse geo
28,ATLANTIC AVE,G00025289,ATLANTIC AVE,NULL,NULL,401,453,404,470,12420,Morse geo
29,BERGEN,G00013572,BERGEN,NULL,NULL,133,195,140,194,6704,Morse geo
29,BERGEN,G00024246,BERGEN,NULL,NULL,189,245,196,254,11902,Morse geo
30,3 AVE,G00023161,3 AVE,NULL,NULL,1,23,2,26,11394,Morse geo
30,3 AVE,G00029844,3 AVE,NULL,NULL,25,39,28,44,14613,Morse geo
31,3 AVE,G00000859,3 AVE,NULL,NULL,77,93,82,96,444,Morse geo
31,3 AVE,G00005982,3 AVE,NULL,NULL,NA,NA,46,62,2987,Morse geo
31,3 AVE,G00021667,3 AVE,NULL,NULL,59,75,64,80,10698,Morse geo
32,3 AVE,G00000859,3 AVE,NULL,NULL,77,93,82,96,444,Morse geo
32,3 AVE,G00005982,3 AVE,NULL,NULL,NA,NA,46,62,2987,Morse geo
32,3 AVE,G00021667,3 AVE,NULL,NULL,59,75,64,80,10698,Morse geo
33,ADAMS,G00013222,ADAMS,NULL,NULL,157,175,156,178,6528,Morse geo
33,ADAMS,G00013222,ADAMS,NULL,NULL,187,197,190,202,17004,Morse geo
33,ADAMS,G00013222,ADAMS,NULL,NULL,NA,NA,NA,NA,17008,Morse geo
33,ADAMS,G00013222,ADAMS,NULL,NULL,177,185,180,188,17033,Morse geo
33,ADAMS,G00026659,ADAMS,NULL,NULL,137,155,132,154,17989,Morse geo
34,ADAMS,G00023184,ADAMS,NULL,NULL,209,251,212,NA,11401,Morse geo
34,ADAMS,G00023184,ADAMS,NULL,NULL,199,207,204,210,17022,Morse geo
35,ADAMS,G00025091,ADAMS,NULL,NULL,253,281,262,292,12320,Morse geo
36,BRG,NULL,NULL,BRG,NULL,173,181,174,188,16949,Morse geo
36,BRG,NULL,NULL,BRG,NULL,143,161,142,164,16957,Morse geo
36,BRG,NULL,NULL,BRG,NULL,163,171,166,172,16993,Morse geo
37,BRG,G00015572,BRG,NULL,NULL,209,241,214,240,7706,Morse geo
37,BRG,G00027727,BRG,NULL,NULL,183,207,190,212,13582,Morse geo
38,BRG,G00019107,BRG,NULL,NULL,NA,NA,NA,NA,9428,Morse geo
38,BRG,G00019829,BRG,NULL,NULL,265,293,264,292,9781,Morse geo
38,BRG,G00020812,BRG,NULL,NULL,243,263,242,262,10261,Morse geo
38,BRG,G00015572,BRG,NULL,NULL,209,241,214,240,20338,Morse geo
39,ADAMS,G00014705,ADAMS,NULL,NULL,283,317,294,332,7291,Morse geo
39,ADAMS,G00017447,ADAMS,NULL,NULL,319,365,334,386,17114,Morse geo
39,ADAMS,G00017447,ADAMS,NULL,NULL,NA,NA,NA,NA,17111,Morse geo
40,BRG,G00000553,BRG,NULL,NULL,295,327,294,328,276,Morse geo
40,BRG,G00004551,BRG,NULL,NULL,375,419,374,416,2271,Morse geo
40,BRG,G00022132,BRG,NULL,NULL,329,373,330,372,10910,Morse geo
41,BRG,G00028686,BRG,NULL,NULL,19,37,20,36,14051,Morse geo
41,BRG,NULL,NULL,BRG,NULL,1,17,2,18,16870,Morse geo
42,BRG,G00014336,BRG,NULL,NULL,55,73,56,72,7102,Morse geo
42,BRG,G00023281,BRG,NULL,NULL,39,53,38,54,11446,Morse geo
43,BRG,G00024927,BRG,NULL,NULL,75,99,74,98,12240,Morse geo
44,CORNELL\'S ALY,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
45,BRG,G00022105,BRG,NULL,NULL,113,123,112,120,10897,Morse geo
45,BRG,NULL,NULL,BRG,NULL,125,141,122,140,16961,Morse geo
45,BRG,G00022105,BRG,NULL,NULL,101,111,100,110,16985,Morse geo
46,BRG,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
47,BRG,NULL,NULL,BRG,NULL,173,181,174,188,16949,Morse geo
47,BRG,NULL,NULL,BRG,NULL,143,161,142,164,16957,Morse geo
47,BRG,NULL,NULL,BRG,NULL,163,171,166,172,16993,Morse geo
48,BRG,G00027727,BRG,NULL,NULL,183,207,190,212,13582,Morse geo
49,CONCORD,G00009691,CONCORD,NULL,NULL,217,233,214,234,4753,Morse geo
49,CONCORD,G00002302,CONCORD,NULL,NULL,235,255,236,256,17122,Morse geo
49,CONCORD,G00002302,CONCORD,NULL,NULL,235,255,236,256,20361,Morse geo
50,BRG,G00019829,BRG,NULL,NULL,265,293,264,292,9781,Morse geo
51,BRG,G00015572,BRG,NULL,NULL,209,241,214,240,7706,Morse geo
51,BRG,G00019107,BRG,NULL,NULL,NA,NA,NA,NA,9428,Morse geo
51,BRG,G00020812,BRG,NULL,NULL,243,263,242,262,10261,Morse geo
51,BRG,G00015572,BRG,NULL,NULL,209,241,214,240,20338,Morse geo
52,AMITY,NULL,NULL,AMITY,NULL,1,19,2,20,16344,Morse geo
52,AMITY,NULL,NULL,AMITY,NULL,55,69,54,68,16345,Morse geo
52,AMITY,NULL,NULL,AMITY,NULL,21,53,22,52,16346,Morse geo
53,AMITY,G00032762,AMITY,NULL,NULL,71,113,70,118,16016,Morse geo
54,AMITY,NULL,NULL,AMITY,NULL,55,69,54,68,16345,Morse geo
54,AMITY,NULL,NULL,AMITY,NULL,21,53,22,52,16346,Morse geo
55,BALTIC,G00018215,BALTIC,NULL,NULL,89,121,90,122,9005,Morse geo
56,BALTIC,G00007382,BALTIC,NULL,NULL,143,159,144,158,16352,Morse geo
56,BALTIC,G00007382,BALTIC,NULL,NULL,123,NA,124,142,16353,Morse geo
57,AMITY,G00024596,AMITY,NULL,NULL,115,155,120,142,12089,Morse geo
