ED,Name,OBJECTID,GlobalID,JoinID,State,City,Boro,FULL_STREE,y1910Valid,y1910_gcheck,y1910DirStreet,y1910NameStreet,y1910Left_Low,y1910Left_High,y1910Right_Low,y1910Right_High,y1910Issue,y1910ParityLeft,y1910ParityRight,y1910Unopened,y1910NameALT,JoinID_1910,Shape__Length,CreationDate,Creator,EditDate,Editor,Shape__Length_2,CreationDate_1,Creator_1,EditDate_1,Editor_1,Issue_General,source
1,BATTERY PARK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
2,BEDLOES ISLAND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
3,ALBANY,1435,{00000000-0000-0000-0000-000000000000},G00001203,NY,NEW YORK,MANHATTAN,ALBANY,1,1,NA,NA,1,13,2,14,NA,NA,NA,NA,NA,G00001203,257.682053887544,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,257.682042533675,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:26:13,HNYC_COLUMBIA,NA,Morse geo
3,ALBANY,1465,{00000000-0000-0000-0000-000000000000},G00001234,NY,NEW YORK,MANHATTAN,ALBANY,1,1,NA,NA,15,27,16,28,NA,NA,NA,NA,NA,G00001234,251.874652363073,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,251.874641282283,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:26:21,HNYC_COLUMBIA,NA,Morse geo
4,ALBANY,1435,{00000000-0000-0000-0000-000000000000},G00001203,NY,NEW YORK,MANHATTAN,ALBANY,1,1,NA,NA,1,13,2,14,NA,NA,NA,NA,NA,G00001203,257.682053887544,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,257.682042533675,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:26:13,HNYC_COLUMBIA,NA,Morse geo
4,ALBANY,1465,{00000000-0000-0000-0000-000000000000},G00001234,NY,NEW YORK,MANHATTAN,ALBANY,1,1,NA,NA,15,27,16,28,NA,NA,NA,NA,NA,G00001234,251.874652363073,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,251.874641282283,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:26:21,HNYC_COLUMBIA,NA,Morse geo
5,BATTERY PL,6600,{00000000-0000-0000-0000-000000000000},G00006508,NY,NEW YORK,MANHATTAN,NA,1,1,NA,BATTERY PL,NA,NA,7,17,NA,NA,M,NA,NA,G00006508,221.122225681301,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,221.122225677727,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:43:34,HNYC_COLUMBIA,NA,Morse geo
6,BATTERY PL,6598,{00000000-0000-0000-0000-000000000000},G00006506,NY,NEW YORK,MANHATTAN,NA,1,1,NA,BATTERY PL,NA,NA,1,3,NA,NA,M,NA,NA,G00006506,228.393533220881,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,228.393533221107,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:43:33,HNYC_COLUMBIA,NA,Morse geo
6,BATTERY PL,6599,{00000000-0000-0000-0000-000000000000},G00006507,NY,NEW YORK,MANHATTAN,NA,1,1,NA,BATTERY PL,NA,NA,4,6,NA,NA,M,NA,NA,G00006507,200.490349203627,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,200.490349203514,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:43:33,HNYC_COLUMBIA,NA,Morse geo
7,BEAVER,1469,{00000000-0000-0000-0000-000000000000},G00001238,NY,NEW YORK,MANHATTAN,BEAVER,1,1,NA,NA,1,11,2,12,NA,NA,NA,NA,NA,G00001238,193.420443997657,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,193.420435476571,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:26:22,HNYC_COLUMBIA,NA,Morse geo
